sample-id,sample-name,transect,id,day,temp,treatment,Sample_or_Control,exp,leaf_length,leaf_area,lesion_area,healthy_area,severity,qPCR,grazing,lesion,old_area,new_area,perc_new_growth,perc_new_growth_per_day,new_growth_per_day,green_old_area,green_new_area,perc_green_old,perc_green_new,perc_green
RLM27,11C_CTRL_6_D0,NA,11C_CTRL_6,D0,11C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM28,11C_CTRL_2_D2,NA,11C_CTRL_2,D2,11C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM29,11C_CTRL_3_D2,NA,11C_CTRL_3,D2,11C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM30,11C_CTRL_4_D2,NA,11C_CTRL_4,D2,11C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM31,11C_CTRL_6_D2,NA,11C_CTRL_6,D2,11C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM32,11C_MVA_2_D2,NA,11C_MVA_2,D2,11C,MVA,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM33,11C_MVA_3_D2,NA,11C_MVA_3,D2,11C,MVA,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM34,11C_MVA_4_D2,NA,11C_MVA_4,D2,11C,MVA,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM35,11C_MVA_6_D2,NA,11C_MVA_6,D2,11C,MVA,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM36,11C_LF_2_D2,NA,11C_LF_2,D2,11C,LF,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM37,11C_LF_3_D2,NA,11C_LF_3,D2,11C,LF,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM38,11C_LF_4_D2,NA,11C_LF_4,D2,11C,LF,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM39,11C_LF_6_D2,NA,11C_LF_6,D2,11C,LF,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM40,11C_CTRL_2_D6,NA,11C_CTRL_2,D6,11C,CTRL,True sample,AA,42.983,262.411,0,262.411,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM41,11C_CTRL_3_D6,NA,11C_CTRL_3,D6,11C,CTRL,True sample,AA,41.932,245.467,0,245.467,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM42,11C_CTRL_4_D6,NA,11C_CTRL_4,D6,11C,CTRL,True sample,AA,45.219,324.701,0,324.701,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM43,11C_CTRL_6_D6,NA,11C_CTRL_6,D6,11C,CTRL,True sample,AA,40.904,281.075,0,281.075,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM44,11C_MVA_2_D6,NA,11C_MVA_2,D6,11C,MVA,True sample,AA,41.526,281.339,15.566,265.773,5.53282695,185231983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM45,11C_MVA_3_D6,NA,11C_MVA_3,D6,11C,MVA,True sample,AA,43.992,277.822,2.397,275.425,0.86278265,56652120.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM46,11C_MVA_4_D6,NA,11C_MVA_4,D6,11C,MVA,True sample,AA,41.391,320.06,33.158,286.902,10.3599325,212096717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM47,11C_MVA_6_D6,NA,11C_MVA_6,D6,11C,MVA,True sample,AA,40.749,294.57,33.047,261.523,11.2187256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM48,11C_LF_2_D6,NA,11C_LF_2,D6,11C,LF,True sample,AA,40.071,293.513,64.555,228.958,21.9939151,240443108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM49,11C_LF_3_D6,NA,11C_LF_3,D6,11C,LF,True sample,AA,41.239,276.363,7.867,268.496,2.8466184,90088168.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM50,11C_LF_4_D6,NA,11C_LF_4,D6,11C,LF,True sample,AA,39.374,306.852,20.285,286.567,6.61067876,129958036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM51,11C_LF_6_D6,NA,11C_LF_6,D6,11C,LF,True sample,AA,40.036,280.697,73.644,207.053,26.2361194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM52,19C_CTRL_2_D0,NA,19C_CTRL_2,D0,19C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM53,19C_CTRL_3_D0,NA,19C_CTRL_3,D0,19C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM54,19C_CTRL_4_D0,NA,19C_CTRL_4,D0,19C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM55,19C_CTRL_6_D0,NA,19C_CTRL_6,D0,19C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM56,19C_CTRL_2_D2,NA,19C_CTRL_2,D2,19C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM57,19C_CTRL_3_D2,NA,19C_CTRL_3,D2,19C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM58,19C_CTRL_4_D2,NA,19C_CTRL_4,D2,19C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM59,19C_CTRL_6_D2,NA,19C_CTRL_6,D2,19C,CTRL,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM60,19C_MVA_2_D2,NA,19C_MVA_2,D2,19C,MVA,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM61,19C_MVA_3_D2,NA,19C_MVA_3,D2,19C,MVA,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM62,19C_MVA_4_D2,NA,19C_MVA_4,D2,19C,MVA,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM63,19C_MVA_6_D2,NA,19C_MVA_6,D2,19C,MVA,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM64,19C_LF_2_D2,NA,19C_LF_2,D2,19C,LF,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM65,19C_LF_3_D2,NA,19C_LF_3,D2,19C,LF,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM66,19C_LF_4_D2,NA,19C_LF_4,D2,19C,LF,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
